ID_REF;VALUE
16650001;2.33178
16650003;1.61547
16650005;3.16091
16650007;2.02629
16650009;0.888439
16650011;2.47887
16650013;3.62299
16650015;4.91332
16650017;2.77231
16650019;3.03654
16650021;3.35605
16650023;1.2999
16650025;2.9571
16650027;2.73309
16650029;3.83955
16650031;1.87744
16650033;0.87253
16650035;1.72722
16650037;1.76266
16650041;4.82931
16650043;4.77543
16650045;2.71711
16650047;3.37659
16650049;1.46836
16650051;2.80654
16650053;5.20505
16650055;2.58135
16650057;4.16064
16650059;6.165
16650061;1.07215
16650063;3.23046
16650065;2.65152
16650067;5.08798
16650069;1.39295
16650071;4.11655
16650073;6.11974
16650075;1.11906
16650077;2.17603
16650079;4.2251
16650081;2.16118
16650083;2.17792
16650085;1.83572
16650087;2.52212
16650089;3.40043
16650093;5.08162
16650095;1.14071
16650097;2.44941
16650099;2.86699
16650101;1.70087
16650103;2.79979
16650105;5.08272
16650107;5.44608
16650109;3.74327
16650111;4.39816
16650113;1.97962
16650115;4.45086
16650117;2.33664
16650119;2.01873
16650121;1.59737
16650123;4.57475
16650125;3.37463
16650127;2.84874
16650129;4.36626
16650131;6.42379
16650133;3.74078
16650135;3.68985
16650137;3.52032
16650139;5.8681
16650141;5.02676
16650143;4.28647
16650145;2.75206
16650147;3.71277
16650149;0.527794
16650151;4.70725
16650153;1.86595
16650155;4.11672
16650157;3.79372
16650159;4.13915
16650161;5.54048
16650163;4.55433
16650165;4.25245
16650167;3.23287
16650169;4.18752
16650171;3.19745
16650173;4.59607
16650175;4.35931
16650177;1.93032
16650179;1.98407
16650181;2.91299
16650183;2.21121
16650185;1.95468
16650187;1.55975
16650189;1.25756
16650191;1.18764
16650193;2.38485
16650195;1.97962
16650197;4.50857
16650199;1.57281
16650201;1.02698
16650203;0.727277
16650205;3.09703
16650207;2.82047
16650209;3.95786
16650211;3.48734
16650213;4.38455
16650215;3.62255
16650217;4.08315
16650219;2.77795
16650221;3.33768
16650223;3.19745
16650225;3.4022
16650227;0.959056
16650229;1.88655
16650231;3.30383
16650233;4.26416
16650235;4.8942
16650237;3.28932
16650239;3.37627
16650241;4.61554
16650243;3.13324
16650245;3.04648
16650247;4.14572
16650249;3.15269
16650251;3.55922
16650253;4.59545
16650255;4.7423
16650257;3.00587
16650259;2.99567
16650261;2.57459
16650263;2.40086
16650265;1.38292
16650267;5.52248
16650269;2.27063
16650271;3.18723
16650273;5.50885
16650279;5.12979
16650281;7.69102
16650285;0.727277
16650287;4.72048
16650289;2.14071
16650291;3.33476
16650293;6.23488
16650295;2.69063
16650297;1.57281
16650299;1.53945
16650301;3.79945
16650303;3.63669
16650305;3.26714
16650307;1.51412
16650309;2.61359
16650311;3.97747
16650313;2.44256
16650315;4.27408
16650317;2.95641
16650319;0.969993
16650321;1.21856
16650323;2.89438
16650325;4.44107
16650327;5.823
16650329;4.27656
16650331;3.57599
16650333;4.77967
16650335;5.51342
16650337;4.66968
16650341;4.32273
16650343;4.79332
16650345;3.35472
16650347;9.63823
16650349;5.21226
16650351;5.11473
16650353;4.19398
16650355;3.89638
16650357;3.79984
16650359;4.87712
16650361;6.83755
16650363;6.24076
16650365;5.74589
16650367;3.51068
16650369;5.57774
16650371;6.02853
16650373;2.09032
16650375;3.73234
16650377;4.27531
16650379;2.70746
16650381;5.61589
16650383;6.44997
16650385;5.10991
16650387;3.99003
16650389;4.74723
16650391;6.59705
16650393;5.65413
16650395;7.15639
16650397;6.14247
16650399;6.07444
16650401;3.55426
16650403;5.97497
16650405;6.27978
16650407;4.50857
16650409;4.65856
16650411;4.49403
16650413;5.49353
16650415;5.83952
16650417;6.2631
16650419;5.43255
16650421;5.15489
16650423;4.78248
16650425;4.70924
16650427;5.13047
16650429;4.56844
16650431;5.90942
16650433;3.65315
16650435;3.69011
16650437;4.6095
16650439;3.85155
16650441;4.42007
16650443;5.26244
16650445;3.99185
16650447;3.91823
16650449;4.76597
16650451;6.28634
16650453;6.83972
16650455;4.52178
16650457;5.22052
16650459;6.373
16650461;4.88018
16650463;5.70371
16650465;7.21568
16650467;2.69827
16650469;3.0012
16650471;5.22377
16650473;5.82789
16650475;5.73061
16650479;7.49423
