ID_REF	VALUE
16650001	1.23817
16650003	2.53459
16650005	3.26795
16650007	2.41161
16650009	1.01676
16650011	2.18968
16650013	3.65375
16650015	5.13519
16650017	1.78599
16650019	3.03843
16650021	1.91069
16650023	2.00732
16650025	3.41696
16650027	1.5515
16650029	2.307
16650031	3.98575
16650033	0.557532
16650035	2.15957
16650037	1.87835
16650041	5.10498
16650043	4.84371
16650045	3.65133
16650047	3.90276
16650049	2.90532
16650051	2.21422
16650053	5.68684
16650055	3.308
16650057	4.08546
16650059	6.51199
16650061	1.35876
16650063	4.34916
16650065	3.17734
16650067	4.85017
16650069	2.19067
16650071	3.46755
16650073	6.37407
16650075	2.17762
16650077	1.01154
16650079	4.65793
16650081	3.19855
16650083	1.90111
16650085	1.96907
16650087	1.63284
16650089	3.41673
16650093	4.41568
16650095	2.82122
16650097	3.67951
16650099	2.49829
16650101	2.63736
16650103	2.86382
16650105	5.22924
16650107	5.91562
16650109	5.18788
16650111	4.2545
16650113	1.62411
16650115	4.37492
16650117	2.19381
16650119	1.69704
16650121	1.85695
16650123	4.41828
16650125	3.67182
16650127	3.74604
16650129	4.04214
16650131	6.60387
16650133	4.19851
16650135	3.48143
16650137	2.67886
16650139	4.77726
16650141	5.40618
16650143	4.93045
16650145	2.24473
16650147	2.57643
16650149	1.05003
16650151	5.71674
16650153	2.19773
16650155	5.49816
16650157	5.47698
16650159	3.99401
16650161	6.03989
16650163	5.0263
16650165	4.82165
16650167	4.5719
16650169	4.19615
16650171	3.22004
16650173	5.42341
16650175	3.71454
16650177	2.32146
16650179	3.23158
16650181	3.75364
16650183	2.47739
16650185	1.41218
16650187	2.30737
16650189	1.11471
16650191	1.46975
16650193	2.78221
16650195	3.07292
16650197	3.19366
16650199	1.65642
16650201	0.557532
16650203	0.849358
16650205	3.93775
16650207	3.63537
16650209	4.04203
16650211	2.45359
16650213	2.57643
16650215	2.78792
16650217	3.3255
16650219	2.22132
16650221	2.45649
16650223	3.17164
16650225	3.53674
16650227	1.39697
16650229	2.36759
16650231	3.47089
16650233	4.45202
16650235	4.48177
16650237	2.70708
16650239	4.01621
16650241	4.10041
16650243	3.63534
16650245	3.9886
16650247	3.33094
16650249	2.88598
16650251	4.08605
16650253	4.79008
16650255	4.36558
16650257	3.90458
16650259	3.52434
16650261	1.85255
16650263	2.4185
16650265	3.44754
16650267	5.06872
16650269	4.2099
16650271	4.43108
16650273	4.73255
16650279	4.17094
16650281	7.64836
16650285	2.04313
16650287	4.01681
16650289	2.58773
16650291	5.39707
16650293	6.41218
16650295	2.58145
16650297	2.20096
16650299	3.47899
16650301	3.72772
16650303	5.06271
16650305	2.71207
16650307	1.91375
16650309	2.77549
16650311	3.96654
16650313	1.9841
16650315	5.29887
16650317	2.39528
16650319	2.29201
16650321	1.32419
16650323	2.12697
16650325	4.7486
16650327	5.03704
16650329	3.03264
16650331	3.9321
16650333	5.04355
16650335	6.32175
16650337	4.30785
16650341	4.93834
16650343	4.4292
16650345	4.25645
16650347	10.0641
16650349	5.55421
16650351	5.58204
16650353	4.07333
16650355	4.31377
16650357	4.56247
16650359	4.10959
16650361	6.9413
16650363	6.00629
16650365	6.17515
16650367	5.03546
16650369	5.78222
16650371	6.72203
16650373	3.18147
16650375	3.05979
16650377	4.51303
16650379	3.27723
16650381	5.48814
16650383	7.18375
16650385	5.36177
16650387	3.47996
16650389	4.55715
16650391	7.11815
16650393	6.45202
16650395	7.21413
16650397	6.69006
16650399	6.17935
16650401	3.81829
16650403	6.46844
16650405	6.88472
16650407	4.6489
16650409	4.18846
16650411	5.05341
16650413	5.9363
16650415	6.80204
16650417	5.89109
16650419	5.41404
16650421	5.83498
16650423	4.6071
16650425	4.91978
16650427	6.30166
16650429	5.44335
16650431	6.40536
16650433	3.52092
16650435	2.51797
16650437	4.27515
16650439	4.34963
16650441	4.14531
16650443	5.6506
16650445	4.55583
16650447	4.60076
16650449	5.28084
16650451	6.18045
16650453	6.76498
16650455	4.58921
16650457	5.61035
16650459	7.16264
16650461	4.645
16650463	5.62132
16650465	7.77172
16650467	3.01926
16650469	3.93902
16650471	5.36381
16650473	5.58096
16650475	6.47276
16650479	7.33242
16650481	6.37349
16650483	3.77447
16650485	5.05963
16650489	0.930759
16650491	1.00658
16650493	3.17845
16650495	1.6887
16650497	2.2374
16650499	1.58632
16650501	3.07018
16650503	1.33923
16650505	4.54073
16650507	1.85879
16650509	1.66594
16650511	1.60626
16650513	1.5965
16650515	3.43608
16650517	3.65049
16650519	1.16696
16650521	1.03009
16650523	5.7497
16650525	2.33838
16650527	2.2374
16650529	5.07432
16650531	2.53481
16650533	3.55395
16650535	5.03085
16650537	5.04628
16650539	6.21748
16650541	5.85771
16650543	5.76774
16650545	5.71926
16650547	4.63192
16650549	5.91522
16650551	3.21831
16650553	6.13059
16650555	3.18209
16650557	2.33261
16650559	5.15934
16650561	4.41083
16650563	3.83199
16650567	4.52171
16650569	3.63629
16650571	6.44338
16650573	3.34338
16650575	5.80063
16650577	3.32769
16650581	1.45057
16650583	5.22995
16650585	3.82033
16650587	4.82717
16650589	4.24059
16650591	4.3766
16650593	3.23158
16650597	3.66426
16650599	1.59603
16650601	8.29762
16650603	5.91617
16650605	5.01035
16650607	1.24593
16650609	4.32183
16650611	2.30978
16650613	2.41086
16650615	5.47992
16650617	4.97904
16650619	3.01197
16650621	4.1511
16650623	5.01387
16650625	5.09254
16650627	5.69229
16650629	3.71767
16650631	1.2253
16650633	5.596
16650635	4.67975
16650637	4.54627
16650639	4.4238
16650641	5.77319
16650643	1.52258
16650645	4.91636
16650647	5.85769
16650649	3.89109
16650651	4.67311
16650653	4.71949
16650655	4.12943
16650657	3.93303
16650659	3.66421
16650661	4.20232
16650663	3.19738
16650665	2.29085
16650667	1.56348
16650669	1.97395
16650671	4.05495
16650673	4.85576
16650675	1.73808
16650677	3.24701
16650679	2.49234
16650681	3.87144
16650683	1.55213
16650685	2.23311
16650687	3.07563
16650689	1.32092
16650691	4.91801
16650693	3.44567
16650695	2.02031
16650699	4.10959
16650701	3.12098
16650703	6.94629
16650705	4.31792
16650707	3.84854
16650709	2.51461
16650711	4.32797
16650713	1.77647
16650715	4.6188
16650717	1.47721
16650719	2.6383
16650721	5.0626
16650723	1.65642
16650725	2.12564
16650727	1.35653
16650729	5.63838
16650731	4.92496
16650733	4.40614
16650735	7.25986
16650737	7.36181
16650739	3.46864
16650743	7.07411
16650745	2.49346
16650747	5.00948
16650749	4.02941
16650751	7.08125
16650753	0.962081
16650755	1.12857
16650757	1.99812
16650759	5.1498
16650761	4.36805
