ID_REF	VALUE
16650001	2.35204
16650003	2.16728
16650005	3.47638
16650007	2.18007
16650009	1.311
16650011	2.25932
16650013	2.98291
16650015	5.60245
16650017	2.45874
16650019	2.4755
16650021	2.69196
16650023	2.58039
16650025	2.72988
16650027	1.19545
16650029	3.94706
16650031	4.64985
16650033	0.709009
16650035	1.61999
16650037	1.63755
16650041	4.87968
16650043	4.30646
16650045	4.20012
16650047	4.92061
16650049	1.67948
16650051	3.64156
16650053	5.42231
16650055	3.19038
16650057	3.62298
16650059	6.00512
16650061	1.02698
16650063	4.70361
16650065	1.95553
16650067	5.19524
16650069	1.75114
16650071	4.66068
16650073	6.0482
16650075	1.934
16650077	1.78641
16650079	4.37983
16650081	1.87291
16650083	3.6508
16650085	3.32956
16650087	2.62649
16650089	4.06198
16650093	5.26442
16650095	2.6529
16650097	4.11344
16650099	2.31037
16650101	2.32408
16650103	3.71366
16650105	5.11773
16650107	5.36687
16650109	4.80978
16650111	5.18842
16650113	1.90229
16650115	5.05917
16650117	3.40646
16650119	2.37596
16650121	1.28854
16650123	3.41467
16650125	2.82773
16650127	4.14754
16650129	4.17439
16650131	6.61655
16650133	4.94145
16650135	3.743
16650137	2.77773
16650139	5.69071
16650141	4.79944
16650143	5.18458
16650145	1.73278
16650147	3.1158
16650149	0.896647
16650151	5.78144
16650153	2.43496
16650155	5.15874
16650157	5.17089
16650159	4.13925
16650161	5.79172
16650163	5.14145
16650165	4.89399
16650167	3.82656
16650169	4.21899
16650171	2.3639
16650173	4.30904
16650175	3.90035
16650177	1.41611
16650179	1.66361
16650181	3.57656
16650183	3.30259
16650185	2.14016
16650187	2.261
16650189	1.06504
16650191	1.98612
16650193	1.73816
16650195	3.10523
16650197	4.05645
16650199	2.40661
16650201	0.853202
16650203	1.02202
16650205	3.83065
16650207	3.25766
16650209	4.22243
16650211	4.52024
16650213	4.38455
16650215	2.71018
16650217	3.01774
16650219	1.76425
16650221	1.53439
16650223	4.2457
16650225	2.73646
16650227	0.867996
16650229	1.64523
16650231	3.70265
16650233	3.85767
16650235	4.61768
16650237	3.48299
16650239	3.14729
16650241	3.62955
16650243	4.00567
16650245	2.02416
16650247	3.23371
16650249	2.10757
16650251	2.68468
16650253	4.06627
16650255	4.30933
16650257	3.414
16650259	2.1373
16650261	1.31686
16650263	2.59304
16650265	1.94286
16650267	6.03832
16650269	4.1395
16650271	3.3139
16650273	5.48469
16650279	2.04313
16650281	7.80734
16650285	2.04313
16650287	3.96719
16650289	2.75307
16650291	5.68733
16650293	6.52366
16650295	3.05512
16650297	1.19083
16650299	2.5599
16650301	2.31272
16650303	5.16594
16650305	2.64537
16650307	2.37726
16650309	3.39157
16650311	4.73512
16650313	2.51926
16650315	5.23259
16650317	2.28399
16650319	1.77062
16650321	1.59483
16650323	2.26712
16650325	4.9682
16650327	5.40555
16650329	4.36681
16650331	4.46522
16650333	4.7748
16650335	6.26957
16650337	4.81776
16650341	5.12544
16650343	4.18847
16650345	4.07214
16650347	9.89881
16650349	5.76938
16650351	5.38413
16650353	3.04864
16650355	2.96313
16650357	4.72586
16650359	4.40708
16650361	7.07932
16650363	6.40876
16650365	6.38327
16650367	4.5099
16650369	5.64421
16650371	6.61232
16650373	2.83641
16650375	3.81542
16650377	4.57782
16650379	4.01499
16650381	6.0236
16650383	7.05767
16650385	5.0196
16650387	3.47996
16650389	5.40239
